dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt,data_type
2011-01-01,1,0,1,0,6,0,Clear / Partly Cloudy,0.24,0.2879,0.81,0.0,16,hour
2011-01-01,1,0,1,0,6,0,Clear / Partly Cloudy,0.22,0.2727,0.8,0.0,40,hour
2011-01-01,1,0,1,0,6,0,Clear / Partly Cloudy,0.22,0.2727,0.8,0.0,32,hour
2011-01-01,1,0,1,0,6,0,Clear / Partly Cloudy,0.24,0.2879,0.75,0.0,13,hour
2011-01-01,1,0,1,0,6,0,Clear / Partly Cloudy,0.24,0.2879,0.75,0.0,1,hour
2011-01-01,1,0,1,0,6,0,Mist / Cloudy,0.24,0.2576,0.75,0.0896,1,hour
2011-01-01,1,0,1,0,6,0,Clear / Partly Cloudy,0.22,0.2727,0.8,0.0,2,hour
2011-01-01,1,0,1,0,6,0,Clear / Partly Cloudy,0.2,0.2576,0.86,0.0,3,hour
2011-01-01,1,0,1,0,6,0,Clear / Partly Cloudy,0.24,0.2879,0.75,0.0,8,hour
2011-01-01,1,0,1,0,6,0,Clear / Partly Cloudy,0.32,0.3485,0.76,0.0,14,hour
2011-01-01,1,0,1,0,6,0,Clear / Partly Cloudy,0.38,0.3939,0.76,0.2537,36,hour
2011-01-01,1,0,1,0,6,0,Clear / Partly Cloudy,0.36,0.3333,0.81,0.2836,56,hour
2011-01-01,1,0,1,0,6,0,Clear / Partly Cloudy,0.42,0.4242,0.77,0.2836,84,hour
2011-01-01,1,0,1,0,6,0,Mist / Cloudy,0.46,0.4545,0.72,0.2985,94,hour
2011-01-01,1,0,1,0,6,0,Mist / Cloudy,0.46,0.4545,0.72,0.2836,106,hour
2011-01-01,1,0,1,0,6,0,Mist / Cloudy,0.44,0.4394,0.77,0.2985,110,hour
2011-01-01,1,0,1,0,6,0,Mist / Cloudy,0.42,0.4242,0.82,0.2985,93,hour
2011-01-01,1,0,1,0,6,0,Mist / Cloudy,0.44,0.4394,0.82,0.2836,67,hour
2011-01-01,1,0,1,0,6,0,Light Rain / Snow,0.42,0.4242,0.88,0.2537,35,hour
2011-01-01,1,0,1,0,6,0,Light Rain / Snow,0.42,0.4242,0.88,0.2537,37,hour
2011-01-01,1,0,1,0,6,0,Mist / Cloudy,0.4,0.4091,0.87,0.2537,36,hour
2011-01-01,1,0,1,0,6,0,Mist / Cloudy,0.4,0.4091,0.87,0.194,34,hour
2011-01-01,1,0,1,0,6,0,Mist / Cloudy,0.4,0.4091,0.94,0.2239,28,hour
2011-01-01,1,0,1,0,6,0,Mist / Cloudy,0.46,0.4545,0.88,0.2985,39,hour
2011-01-02,1,0,1,0,0,0,Mist / Cloudy,0.46,0.4545,0.88,0.2985,17,hour
2011-01-02,1,0,1,0,0,0,Mist / Cloudy,0.44,0.4394,0.94,0.2537,17,hour
2011-01-02,1,0,1,0,0,0,Mist / Cloudy,0.42,0.4242,1.0,0.2836,9,hour
2011-01-02,1,0,1,0,0,0,Mist / Cloudy,0.46,0.4545,0.94,0.194,6,hour
2011-01-02,1,0,1,0,0,0,Mist / Cloudy,0.46,0.4545,0.94,0.194,3,hour
2011-01-02,1,0,1,0,0,0,Light Rain / Snow,0.42,0.4242,0.77,0.2985,2,hour
2011-01-02,1,0,1,0,0,0,Mist / Cloudy,0.4,0.4091,0.76,0.194,1,hour
2011-01-02,1,0,1,0,0,0,Light Rain / Snow,0.4,0.4091,0.71,0.2239,8,hour
2011-01-02,1,0,1,0,0,0,Mist / Cloudy,0.38,0.3939,0.76,0.2239,20,hour
2011-01-02,1,0,1,0,0,0,Mist / Cloudy,0.36,0.3485,0.81,0.2239,53,hour
